2023-12-02 22:41:48.794 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-12-02 22:41:48.795 [info] Added views:workbench.panel.output in workbench.panel.output
2023-12-02 22:41:48.795 [info] Added views:terminal in terminal
2023-12-02 22:41:48.795 [info] Added views:outline in workbench.view.explorer
2023-12-02 22:41:48.795 [info] Added views:workbench.scm in workbench.view.scm
2023-12-02 22:41:48.795 [info] Added views:workbench.view.search in workbench.view.search
2023-12-02 22:41:48.795 [info] Added views:timeline in workbench.view.explorer
2023-12-02 22:41:48.795 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-12-02 22:41:49.437 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-12-02 22:41:50.796 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-12-02 22:41:50.799 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 22:41:50.799 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 22:41:51.173 [info] Added views:~remote.forwardedPorts in terminal
2023-12-02 22:46:09.894 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-12-02 22:46:15.343 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2023-12-02 22:46:15.366 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 22:46:15.441 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:25:25.241 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:25:25.322 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 23:25:25.348 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 23:25:25.403 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:25:25.604 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:25:25.638 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 23:25:34.046 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 23:25:34.108 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:25:53.694 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:25:53.744 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 23:25:53.772 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 23:25:53.818 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:25:53.931 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:25:53.965 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 23:25:58.270 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 23:25:58.360 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:26:17.189 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:26:17.237 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 23:26:17.256 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 23:26:17.301 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:26:17.386 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:26:17.425 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-12-02 23:26:26.766 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-12-02 23:26:26.794 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-12-02 23:28:25.980 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-12-02 23:28:26.020 [info] Added views:workbench.debug.welcome in workbench.view.debug
